timestamp,zone,total
14/02/2023 16:00:00,Gare de Namur,1610
14/02/2023 17:00:00,Gare de Namur,1331
14/02/2023 18:00:00,Gare de Namur,954
14/02/2023 19:00:00,Gare de Namur,845
14/02/2023 20:00:00,Gare de Namur,766
14/02/2023 21:00:00,Gare de Namur,575
14/02/2023 22:00:00,Gare de Namur,480
14/02/2023 23:00:00,Gare de Namur,420
15/02/2023 00:00:00,Gare de Namur,288
15/02/2023 01:00:00,Gare de Namur,240
15/02/2023 02:00:00,Gare de Namur,224
15/02/2023 03:00:00,Gare de Namur,255
15/02/2023 04:00:00,Gare de Namur,250
15/02/2023 05:00:00,Gare de Namur,302
15/02/2023 06:00:00,Gare de Namur,363
15/02/2023 07:00:00,Gare de Namur,2774
15/02/2023 08:00:00,Gare de Namur,1767
15/02/2023 09:00:00,Gare de Namur,1556
15/02/2023 10:00:00,Gare de Namur,1591
15/02/2023 11:00:00,Gare de Namur,2005
15/02/2023 12:00:00,Gare de Namur,2551
15/02/2023 13:00:00,Gare de Namur,1952
15/02/2023 14:00:00,Gare de Namur,1652
15/02/2023 15:00:00,Gare de Namur,1774
15/02/2023 16:00:00,Gare de Namur,1432
15/02/2023 17:00:00,Gare de Namur,1346
15/02/2023 18:00:00,Gare de Namur,1016
15/02/2023 19:00:00,Gare de Namur,762
15/02/2023 20:00:00,Gare de Namur,639
15/02/2023 21:00:00,Gare de Namur,537
15/02/2023 22:00:00,Gare de Namur,448
15/02/2023 23:00:00,Gare de Namur,464
16/02/2023 00:00:00,Gare de Namur,1169
16/02/2023 01:00:00,Gare de Namur,337
16/02/2023 02:00:00,Gare de Namur,252
16/02/2023 03:00:00,Gare de Namur,224
16/02/2023 04:00:00,Gare de Namur,240
16/02/2023 05:00:00,Gare de Namur,271
16/02/2023 06:00:00,Gare de Namur,340
16/02/2023 07:00:00,Gare de Namur,2614
16/02/2023 08:00:00,Gare de Namur,1316
16/02/2023 09:00:00,Gare de Namur,1187
16/02/2023 10:00:00,Gare de Namur,1377
16/02/2023 11:00:00,Gare de Namur,1416
16/02/2023 12:00:00,Gare de Namur,1432
16/02/2023 13:00:00,Gare de Namur,1151
16/02/2023 14:00:00,Gare de Namur,1166
16/02/2023 15:00:00,Gare de Namur,1964
16/02/2023 16:00:00,Gare de Namur,1802
16/02/2023 17:00:00,Gare de Namur,1519
16/02/2023 18:00:00,Gare de Namur,937
16/02/2023 19:00:00,Gare de Namur,687
