Name,Latitude,Longitude
Rijsel-Vlaanderen,50.633333,3.066669
Rivage,50.483285,5.587631
Rixensart,50.711413,4.532855
Rochefort-Jemelle,50.160401,5.266698
Rodange,49.551283,5.845028
Roeselare,50.949025,3.130412
Ronet,50.457737,4.82842
Ronse,50.742506,3.602552
Roosendaal,51.540834,4.458692
Rotterdam CS,51.916667,4.5
Roubaix,50.699997,3.166666
Roux,50.443112,4.393199
Ruisbroek,50.79183,4.295333
Ruisbroek-Sauvegarde,51.081022,4.324998
Saint-Denis-Bovesse,50.5213,4.767788
Saint-Ghislain,50.44286,3.820253
Saint-Louis-Haut-Rhin,47.5907,7.555316
Saint-Raphaël-Valescure,43.423456,6.768825
Sart-Bernard,50.406373,4.949739
Saverne,48.744798,7.362255
Schaarbeek,50.878513,4.378636
Scheldewindeke,50.937069,3.777842
Schelle,51.12551,4.340261
Schellebelle,51.003149,3.921373
Schendelbeke,50.797844,3.899286
Schiphol,52.3,4.75
Schoonaarde,51.003149,4.011094
Schouweiler,49.57364,5.960076
Schulen,50.963758,5.187405
Sclaigneaux,50.492247,5.026363
Sclessin,50.609844,5.558911
Selestat,48.26667,7.449999
Seraing,50.6089,5.513777
Serskamp,50.984397,3.959361
Siegburg,50.793916,7.203029
Simonis,50.863645,4.32898
Sinaai,51.143398,4.06894
Sint-Agatha-Berchem,50.872625,4.289895
Sint-Denijs-Boekel,50.874297,3.698395
Sint-Genesius-Rode,50.74781,4.361997
Sint-Gillis-Dendermonde,51.021693,4.117832
Sint-Job,50.79441,4.362761
Sint-Joris-Weert,50.800631,4.651728
Sint-Katelijne-Waver,51.069975,4.496116
Sint-Mariaburg,51.291658,4.4349
Sint-Martens-Bodegem,50.86716,4.205081
Sint-Niklaas,51.171472,4.142966
Sint-Truiden,50.81762,5.176654
Sleidinge,51.126607,3.667526
Solre-sur-Sambre,50.312642,4.158427
Spa,50.490305,5.855096
Spa-Géronstère,50.489307,5.866207
Statte,50.528276,5.219676
Sterpenich-Frontiere,49.64396,5.90415
Stockem,49.690939,5.769115
Straatsburg,48.585437,7.733905
Sy,50.403254,5.523565
Sète,43.41281,3.696535
Tamines,50.432235,4.608823
Temse,51.126085,4.221352
Terhagen,50.901643,3.896653
Terhulpen,50.737958,4.49706
Ternat,50.874522,4.16534
Testelt,51.009864,4.945829
Theux,50.536159,5.815031
Thieu,50.46954,4.098523
Thionville,49.366663,6.166663
Thuin,50.342738,4.288906
Thulin,50.423335,3.744708
Thurn en Taxis,50.87175167644673,4.341090917587279
