timestamp,zone,total
15/02/2023 11:00:00,Gare de Charleroi,924
15/02/2023 12:00:00,Gare de Charleroi,1087
15/02/2023 13:00:00,Gare de Charleroi,1229
15/02/2023 14:00:00,Gare de Charleroi,1090
15/02/2023 15:00:00,Gare de Charleroi,1047
15/02/2023 16:00:00,Gare de Charleroi,926
15/02/2023 17:00:00,Gare de Charleroi,856
15/02/2023 18:00:00,Gare de Charleroi,779
15/02/2023 19:00:00,Gare de Charleroi,621
15/02/2023 20:00:00,Gare de Charleroi,512
15/02/2023 21:00:00,Gare de Charleroi,475
15/02/2023 22:00:00,Gare de Charleroi,424
15/02/2023 23:00:00,Gare de Charleroi,454
16/02/2023 00:00:00,Gare de Charleroi,361
16/02/2023 01:00:00,Gare de Charleroi,281
16/02/2023 02:00:00,Gare de Charleroi,384
16/02/2023 03:00:00,Gare de Charleroi,405
16/02/2023 04:00:00,Gare de Charleroi,337
16/02/2023 05:00:00,Gare de Charleroi,426
16/02/2023 06:00:00,Gare de Charleroi,607
16/02/2023 07:00:00,Gare de Charleroi,781
16/02/2023 08:00:00,Gare de Charleroi,894
16/02/2023 09:00:00,Gare de Charleroi,898
16/02/2023 10:00:00,Gare de Charleroi,925
16/02/2023 11:00:00,Gare de Charleroi,1071
16/02/2023 12:00:00,Gare de Charleroi,1003
16/02/2023 13:00:00,Gare de Charleroi,1104
16/02/2023 14:00:00,Gare de Charleroi,950
16/02/2023 15:00:00,Gare de Charleroi,1029
16/02/2023 16:00:00,Gare de Charleroi,1073
16/02/2023 17:00:00,Gare de Charleroi,871
16/02/2023 18:00:00,Gare de Charleroi,725
16/02/2023 19:00:00,Gare de Charleroi,563
16/02/2023 20:00:00,Gare de Charleroi,591
16/02/2023 21:00:00,Gare de Charleroi,449
16/02/2023 22:00:00,Gare de Charleroi,432
16/02/2023 23:00:00,Gare de Charleroi,416
17/02/2023 00:00:00,Gare de Charleroi,420
17/02/2023 01:00:00,Gare de Charleroi,337
17/02/2023 02:00:00,Gare de Charleroi,289
17/02/2023 03:00:00,Gare de Charleroi,310
17/02/2023 04:00:00,Gare de Charleroi,389
17/02/2023 05:00:00,Gare de Charleroi,407
17/02/2023 06:00:00,Gare de Charleroi,425
17/02/2023 07:00:00,Gare de Charleroi,744
17/02/2023 08:00:00,Gare de Charleroi,882
17/02/2023 09:00:00,Gare de Charleroi,991
17/02/2023 10:00:00,Gare de Charleroi,988
17/02/2023 11:00:00,Gare de Charleroi,972
17/02/2023 12:00:00,Gare de Charleroi,1009
17/02/2023 13:00:00,Gare de Charleroi,1029
17/02/2023 14:00:00,Gare de Charleroi,1079
17/02/2023 15:00:00,Gare de Charleroi,1080
17/02/2023 16:00:00,Gare de Charleroi,1116
17/02/2023 17:00:00,Gare de Charleroi,863
17/02/2023 18:00:00,Gare de Charleroi,709
17/02/2023 19:00:00,Gare de Charleroi,722
17/02/2023 20:00:00,Gare de Charleroi,575
17/02/2023 21:00:00,Gare de Charleroi,556
17/02/2023 22:00:00,Gare de Charleroi,463
17/02/2023 23:00:00,Gare de Charleroi,355
18/02/2023 00:00:00,Gare de Charleroi,400
18/02/2023 01:00:00,Gare de Charleroi,298
18/02/2023 02:00:00,Gare de Charleroi,296
18/02/2023 03:00:00,Gare de Charleroi,272
18/02/2023 04:00:00,Gare de Charleroi,280
18/02/2023 05:00:00,Gare de Charleroi,294
18/02/2023 06:00:00,Gare de Charleroi,271
18/02/2023 07:00:00,Gare de Charleroi,286
18/02/2023 08:00:00,Gare de Charleroi,273
18/02/2023 09:00:00,Gare de Charleroi,552
18/02/2023 10:00:00,Gare de Charleroi,598
18/02/2023 11:00:00,Gare de Charleroi,718
18/02/2023 12:00:00,Gare de Charleroi,697
18/02/2023 13:00:00,Gare de Charleroi,960
18/02/2023 14:00:00,Gare de Charleroi,849
18/02/2023 15:00:00,Gare de Charleroi,801
18/02/2023 16:00:00,Gare de Charleroi,850
18/02/2023 17:00:00,Gare de Charleroi,842
18/02/2023 18:00:00,Gare de Charleroi,684
18/02/2023 19:00:00,Gare de Charleroi,618
18/02/2023 20:00:00,Gare de Charleroi,531
18/02/2023 21:00:00,Gare de Charleroi,617
18/02/2023 22:00:00,Gare de Charleroi,587
18/02/2023 23:00:00,Gare de Charleroi,611
19/02/2023 00:00:00,Gare de Charleroi,467
19/02/2023 01:00:00,Gare de Charleroi,560
19/02/2023 02:00:00,Gare de Charleroi,416
19/02/2023 03:00:00,Gare de Charleroi,478
19/02/2023 04:00:00,Gare de Charleroi,413
19/02/2023 05:00:00,Gare de Charleroi,349
19/02/2023 06:00:00,Gare de Charleroi,314
19/02/2023 07:00:00,Gare de Charleroi,329
19/02/2023 08:00:00,Gare de Charleroi,300
19/02/2023 09:00:00,Gare de Charleroi,441
19/02/2023 10:00:00,Gare de Charleroi,471
19/02/2023 11:00:00,Gare de Charleroi,443
19/02/2023 12:00:00,Gare de Charleroi,465
19/02/2023 13:00:00,Gare de Charleroi,447
19/02/2023 14:00:00,Gare de Charleroi,478
19/02/2023 15:00:00,Gare de Charleroi,532
19/02/2023 16:00:00,Gare de Charleroi,551
19/02/2023 17:00:00,Gare de Charleroi,601
19/02/2023 18:00:00,Gare de Charleroi,486
19/02/2023 19:00:00,Gare de Charleroi,347
19/02/2023 20:00:00,Gare de Charleroi,380
19/02/2023 21:00:00,Gare de Charleroi,420
19/02/2023 22:00:00,Gare de Charleroi,231
19/02/2023 23:00:00,Gare de Charleroi,289
20/02/2023 00:00:00,Gare de Charleroi,240
20/02/2023 01:00:00,Gare de Charleroi,294
20/02/2023 02:00:00,Gare de Charleroi,277
20/02/2023 03:00:00,Gare de Charleroi,232
20/02/2023 04:00:00,Gare de Charleroi,233
